ally_top,ally_top_winrate,ally_top_countered,enemy_top,enemy_top_winrate,enemy_top_countered,ally_top_win,ally_jg,ally_jg_winrate,ally_jg_countered,enemy_jg,enemy_jg_winrate,enemy_jg_countered,ally_jg_win,ally_mid,ally_mid_winrate,ally_mid_countered,enemy_mid,enemy_mid_winrate,enemy_mid_countered,ally_mid_win,ally_bot,ally_bot_winrate,ally_bot_countered,enemy_bot,enemy_bot_winrate,enemy_bot_countered,ally_bot_win,ally_supp,ally_supp_winrate,ally_supp_countered,enemy_supp,enemy_supp_winrate,enemy_supp_countered,ally_supp_win,match_outcome
naafiri,49.23,1,garen,50.55,0,0,graves,50.37,0,lillia,49.78,0,1,zoe,51.41,0,hwei,36.61,0,1,samira,49.77,1,xayah,48.71,0,0,soraka,51.4,0,rakan,52.1,1,1,win
trundle,50.84,0,yorick,47.25,1,1,graves,50.37,0,shyvana,47.89,0,1,tristana,51.5,0,zed,49.18,0,1,zeri,47.85,1,ezreal,50.53,0,0,renata,50.83,0,senna,51.11,0,0,win
zac,52.06,0,malphite,51.69,0,1,graves,50.37,0,warwick,48.78,0,1,lulu,42.29,0,akali,49.56,0,0,vayne,41.9,1,ashe,51.2,1,0,renata,50.83,0,alistar,49.92,0,1,lose
irelia,50.25,1,malphite,51.69,0,0,graves,50.37,0,pantheon,48.78,0,1,hwei,36.61,0,ahri,50.02,0,0,draven,50.58,0,sivir,49,1,1,renata,50.83,0,yuumi,48.09,0,1,win
chogath,49.31,0,gnar,49.6,0,0,amumu,48.88,0,volibear,48.49,0,1,ahri,50.02,0,ekko,51.07,0,0,kaisa,48.32,0,missfortune,50.34,0,0,lux,49.11,1,janna,52.32,0,0,lose
cassiopeia,52.08,0,teemo,49.21,0,1,amumu,48.88,0,rammus,51.93,0,0,trundle,51.21,0,yone,48.91,0,1,senna,48.56,0,missfortune,50.34,0,0,thresh,50.17,0,xerath,51.22,0,0,win
aatrox,49.87,0,udyr,51.16,0,0,viego,48.8,0,briar,50.74,0,0,zed,49.18,0,ahri,50.02,0,0,caitlyn,49.19,1,vayne,51.9,1,0,nami,50.46,0,lulu,49.01,0,1,lose
pantheon,49.99,1,kayle,50.69,0,0,kayn,50.08,1,nocturne,51.45,0,0,lux,50.93,0,viktor,50.76,0,1,samira,49.77,1,ezreal,50.53,0,0,malphite,43.05,0,senna,51.11,0,0,lose
sion,47.71,0,naafiri,49.23,0,0,kayn,50.08,0,ekko,50.03,0,1,garen,52.53,0,trundle,51.21,0,1,jhin,50.77,0,kaisa,48.32,0,1,ivern,52.05,0,lux,49.11,0,1,win
gnar,49.6,0,ksante,49.67,0,0,shaco,50.79,0,rengar,50.89,0,0,yasuo,49.32,0,vladimir,51.5,0,0,vayne,51.9,0,hwei,40.09,1,1,nami,50.46,0,nautilus,49.45,0,1,lose
drmundo,50.35,0,garen,50.49,0,0,briar,50.87,0,skarner,50.67,0,1,xerath,52.59,0,hwei,37.34,1,1,jhin,50.75,0,ezreal,50.53,1,1,karma,48.4,1,nautilus,49.42,0,0,win
aatrox,49.85,0,darius,50.42,0,0,trundle,50.23,0,rumble,50.01,0,1,zoe,51.49,0,aurelionsol,51.61,0,0,ashe,51.23,0,lucian,50.8,1,1,karma,48.4,1,pyke,50.74,0,0,lose
drmundo,50.35,0,malphite,51.75,0,0,masteryi,50.85,0,poppy,49.79,0,1,katarina,51.2,0,hwei,37.34,1,1,missfortune,50.23,0,caitlyn,49.12,0,1,senna,51.09,1,leona,50.71,0,0,win
volibear,49.26,0,yone,48.06,0,1,warwick,49.15,0,skarner,50.67,0,0,katarina,51.2,0,akali,49.57,0,1,caitlyn,49.12,0,jinx,50.43,0,0,zyra,51.75,0,ashe,48.3,0,1,win
swain,51.39,0,mordekaiser,49.41,0,1,lillia,49.6,0,sylas,48.38,0,1,lissandra,51.18,0,twistedfate,51.89,0,0,twitch,51.5,0,caitlyn,49.12,1,1,soraka,51.36,1,zyra,51.75,0,0,win
aatrox,49.8,0,kennen,49.8,0,1,talon,50.72,1,fiddlesticks,51.57,0,0,akali,49.64,0,ahri,50.09,0,0,kaisa,48.24,1,ashe,51.2,0,0,janna,52.25,0,karma,48.4,1,1,win
ksante,49.63,0,irelia,50.12,0,0,evelynn,51.63,0,kayn,49.99,1,1,sylas,51.85,0,ahri,50.09,0,1,ezreal,50.51,0,varus,49.48,1,1,heimerdinger,50.14,0,taric,52.44,0,0,win
yasuo,48.05,0,renekton,48.96,0,0,ivern,52.58,0,khazix,50.91,0,1,orianna,50.04,0,syndra,50.7,0,0,caitlyn,49.11,1,ezreal,50.51,0,0,braum,50.61,1,soraka,51.42,0,0,lose
olaf,52.27,0,rengar,52.33,0,0,nidalee,50.23,0,ivern,52.58,0,0,twistedfate,51.82,0,orianna,50.04,0,1,ezreal,50.51,1,lucian,50.78,1,1,senna,50.99,0,nami,50.44,0,1,lose
ornn,51.44,0,jax,50.62,0,1,rengar,50.8,0,leesin,48.99,0,1,sylas,51.85,0,orianna,50.04,0,1,samira,49.71,0,varus,49.48,0,1,janna,52.25,0,ashe,48.38,0,1,lose
fiora,50.93,0,ksante,49.64,1,1,nunu,49.73,0,shaco,50.8,0,0,fizz,52.12,1,vladimir,51.45,0,0,samira,49.71,0,caitlyn,49.11,1,1,morgana,49.53,1,janna,52.25,0,0,win
shyvana,47.77,0,tryndamere,50.76,0,0,briar,50.78,0,vi,48.95,0,1,samira,46.04,0,ryze,49.64,0,0,vayne,51.89,0,kaisa,48.24,1,1,nautilus,49.33,0,lulu,49,0,1,win
yasuo,48.05,0,darius,50.53,0,0,viego,48.95,0,fiddlesticks,51.57,0,0,orianna,50.04,0,qiyana,51.65,0,0,jinx,50.42,0,tristana,49.99,1,1,leona,50.74,1,rakan,51.99,0,0,win
aatrox,49.8,0,camille,51.7,0,0,hecarim,50.27,1,nocturne,51.52,0,0,lissandra,51.28,0,syndra,50.7,0,1,vayne,51.89,1,ashe,51.25,1,1,thresh,50.18,0,tahmkench,49.43,0,1,win
garen,50.49,0,nasus,51.14,0,0,nocturne,51.52,0,belveth,50.98,0,1,aurelionsol,51.6,0,anivia,52.61,0,0,ezreal,50.53,1,vayne,51.89,0,0,neeko,50.15,1,milio,50.73,0,0,lose
poppy,52.05,0,varus,48.49,0,1,ivern,52.58,0,vi,48.95,1,1,akali,49.64,0,yasuo,49.36,0,1,missfortune,50.22,1,jhin,50.71,0,0,morgana,49.53,0,hwei,36.93,0,1,win
gangplank,49.12,0,aatrox,49.77,0,0,lillia,49.81,0,graves,50.37,0,0,karma,48.52,0,hwei,41.02,0,1,varus,49.58,1,ezreal,50.47,0,0,zyra,51.64,0,yuumi,47.99,0,1,lose
graves,46.63,0,gragas,49.65,0,0,taliyah,50.93,0,kayn,49.89,0,1,kennen,53.77,0,yasuo,49.43,0,1,ezreal,50.47,0,zeri,47.94,0,1,lux,49.06,0,yuumi,47.99,0,1,win
illaoi,50.94,0,camille,51.5,1,1,udyr,50.21,0,evelynn,51.58,0,0,yone,48.59,0,talon,52.66,0,0,caitlyn,49.11,0,thresh,31.6,0,1,lux,49.06,0,swain,47.96,0,1,win
yone,47.8,1,poppy,52.03,0,0,nocturne,51.46,0,sejuani,47.79,1,1,akali,49.72,0,katarina,50.87,0,0,ashe,51.17,0,ezreal,50.47,1,1,lissandra,50.16,0,rell,50.56,0,0,lose
gangplank,49.12,1,quinn,52.06,0,0,reksai,51.6,0,belveth,51.12,0,1,twistedfate,51.78,1,sylas,51.11,0,0,samira,49.56,0,draven,50.53,1,1,lux,49.06,0,brand,49.46,0,0,lose
riven,51.4,0,gwen,49.91,1,1,lillia,49.81,1,briar,50.99,0,0,akali,49.72,1,galio,52.29,0,0,lucian,50.62,1,ezreal,50.47,0,0,soraka,51.44,1,bard,51.51,0,0,lose
riven,51.4,0,sett,49.29,1,1,nocturne,51.46,0,masteryi,50.78,0,1,fizz,51.97,0,azir,48.45,0,1,jhin,50.68,1,yasuo,50.79,0,0,lux,49.06,0,brand,49.46,0,0,win
malphite,51.67,0,garen,50.55,0,1,khazix,50.77,1,shaco,50.52,0,0,annie,52.16,0,talon,52.66,1,1,samira,49.56,1,ezreal,50.47,0,0,lux,49.06,0,missfortune,41.18,0,1,win
yone,47.8,0,illaoi,50.94,0,0,diana,48.97,0,leesin,49.02,0,0,zed,48.91,0,katarina,50.87,0,0,zeri,47.94,1,jinx,50.5,0,0,lulu,48.98,1,senna,50.98,0,0,lose
camille,51.5,0,pantheon,49.98,0,1,viego,48.88,0,lillia,49.81,0,0,lux,50.83,0,syndra,50.27,0,1,missfortune,50.19,1,ezreal,50.47,0,0,soraka,51.44,0,zac,51.3,0,1,win
